=================================================
BRAZILIAN SOUTHERN EQUIVALENT SYSTEM - 2017-2025
=================================================
---------------------
BUS DATA 
---------------------
BUS NO.: Bus number
NG: Number of generating units
PGMAX: Maximum generation capacity [MW]
PGMIN: Minimum generation capacity [MW]
PGDESP: Generation dispatch [MW]
LOAD: Load [MW]
TP: Bus type
COST: Production cost [$/MWH]
FAILR: Failure rate [OCC./Y]
MTTR: Mean time to repair [H]

x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
BUS   NG PGMAX   PGMIN   PGDESP    LOAD   TP COST  FAILR    MTTR
NO.      MW      MW      MW        MW        $/MWH OCC./Y   H 
x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
09306 00  000.00  000.00  000.0000 082.00 01 00.00 00.00000 000.00000 1
09310 00  000.00  000.00  000.0000 117.00 01 00.00 00.00000 000.00000 1
09314 00  000.00  000.00  000.0000 121.00 01 00.00 00.00000 000.00000 1
09330 00  000.00  000.00  000.0000 168.00 01 00.00 00.00000 000.00000 1
09340 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
09345 00  000.00  000.00  000.0000 043.00 01 00.00 00.00000 000.00000 1
09350 00  000.00  000.00  000.0000 060.00 01 00.00 00.00000 000.00000 1
38853 01  061.60  050.40  056.0000 000.00 02 41.00 06.00000 040.00000 1
38857 01  246.40  201.60  224.0000 000.00 02 20.00 06.00000 040.00000 1
38858 01  050.60  041.40  046.0000 000.00 02 42.00 06.00000 040.00000 1
39841 01  249.70  204.30  227.0000 000.00 02 19.00 06.00000 040.00000 1
39850 00  000.00  000.00  000.0000 252.00 01 00.00 00.00000 000.00000 1
44651 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
44652 00  000.00  000.00  000.0000 030.00 01 00.00 00.00000 000.00000 1
44653 00  000.00  000.00  000.0000 022.00 01 00.00 00.00000 000.00000 1
44655 00  000.00  000.00  000.0000 035.00 01 00.00 00.00000 000.00000 1
44841 00  000.00  000.00  000.0000 237.00 01 00.00 00.00000 000.00000 1
44900 00  000.00  000.00  000.0000 158.00 01 00.00 00.00000 000.00000 1
44914 01  129.80  106.20  118.0000 000.00 02 32.00 06.00000 040.00000 1
44920 00  000.00  000.00  000.0000 155.00 01 00.00 00.00000 000.00000 1
44925 00  000.00  000.00  000.0000 088.00 01 00.00 00.00000 000.00000 1
46851 00  000.00  000.00  000.0000 205.00 01 00.00 00.00000 000.00000 1
46942 00  000.00  000.00  000.0000 224.00 01 00.00 00.00000 000.00000 1
47120 01  036.30  029.70  033.0000 000.00 02 43.00 06.00000 040.00000 1
47121 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
50211 01  204.60  167.40  186.0000 000.00 02 23.00 06.00000 040.00000 1
50212 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
50213 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
50214 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
50215 01  497.20  406.80  452.0000 000.00 02 14.00 06.00000 040.00000 1
50216 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
50220 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
51001 00  000.00  000.00  000.0000 115.00 01 00.00 00.00000 000.00000 1
51002 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
51003 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
51004 00  000.00  000.00  000.0000 071.70 01 00.00 00.00000 000.00000 1
51020 00  000.00  000.00  000.0000 102.00 01 00.00 00.00000 000.00000 1
